tool_id,nieuwe naam
0.0.160.0,16,
0.0.160.1,16D N1P1,
0.0.160.2,16D N1P1 Lang,
0.0.160.3,16H spiraal,
0.0.160.4,16D 2recht,
0.0.160.5,16D N2P2,
0.0.100.1,10H schrob,
0.0.080.1,8H 2recht,
0.0.080.2,8H spiraal,
0.0.050.1,5H spiraal,
0.0.040.1,4 ALU,
1.0.060.1,V45-D6,
1.0.127.1,V45-D12.7,
1.1.640.1,V45-D23_64,
1.1.250.1,V45-D8_25,
1.1.240.1,V30-D9.3_24,
1.1.160.1,V45-ALU-D2_16,
1.1.188.1,V67.5_ALU-D2_18,
1.1.332.1,V45_D9_33.2,
1.2.295.1,V45-wissel,
2.0.257.1,MES-H20,
2.0.257.2,GROEF-H20,
2.1.190.1,BOLKANT,
2.2.354.1,MiterU,
2.2.505.1,MiterT,
3.0.064.1,BOL-D6.4,
3.0.095.1,BOL-D9.5,
3.0.190.1,BOL-D19,
4.0.300.1,INV-T-30,
4.0.135.1,INV-T-ALU,
4.1.476.1,SLOT-H3,
4.1.476.2,SLOT-H3.2,
4.1.476.3,SLOT-H4,
4.1.476.4,SLOT-H5,
4.1.476.5,SLOT-H6.4,
4.2.200.1,INV45,
4.2.150.1,INV45_D15,
4.2.180.1,INV55,
4.2.167.1,Zwaluw-D16.7,
5.0.030.1,3,
5.0.040.1,4,
5.0.060.1,6,
5.0.075.1,7,5,
5.0.080.1,8,
5.0.010.1,10,
5.0.160.1,16,
6.0.000.1,ClamexHor,
6.1.000.1,ClamexVer,
9.0.000.1,PARABOOL,
9.1.800.1,VLAKKER,
